age,months_with_company,avg_monthly_spend,num_service_tickets,contract_renewals,num_products,discount_rate,late_payments,region,plan_type,is_family_plan,has_auto_pay,payment_method,churn
23,93,81.13,2.0,5,1,0.081,1,East,,No,Yes,UPI,0
65,80,44.9,1.0,5,5,0.407,0,West,Basic,No,Yes,NetBanking,0
58,111,5.21,0.0,0,5,0.031,1,North,Basic,Yes,No,UPI,1
45,115,24.66,1.0,3,4,0.241,0,North,Standard,No,No,Card,0
44,84,88.43,0.0,3,2,0.256,1,West,Standard,No,Yes,UPI,0
71,45,51.97,2.0,1,4,0.099,1,North,Standard,Yes,,UPI,0
23,72,44.99,2.0,5,5,0.045,1,East,Standard,No,Yes,UPI,0
61,51,92.85,0.0,1,5,0.037,2,North,Basic,No,,Card,0
30,75,85.3,3.0,5,3,0.019,1,South,Basic,No,No,UPI,0
23,97,60.49,0.0,0,4,0.287,0,East,Premium,No,Yes,Card,0
50,44,54.13,2.0,3,2,0.078,0,East,Basic,No,No,UPI,0
78,61,57.36,1.0,4,2,0.404,0,East,Basic,No,Yes,NetBanking,1
63,6,64.54,5.0,3,4,0.449,1,North,Basic,No,No,Card,0
65,88,92.0,1.0,0,3,0.146,0,South,Premium,No,Yes,NetBanking,0
62,59,68.45,0.0,0,2,0.082,0,East,Premium,No,No,Card,0
66,55,74.52,1.0,3,4,0.205,1,North,Basic,Yes,Yes,UPI,0
49,64,,3.0,5,2,0.441,0,East,Basic,No,Yes,NetBanking,0
25,26,36.61,0.0,3,3,0.2,0,East,Standard,No,No,Card,0
70,72,75.1,1.0,0,2,0.054,0,South,Basic,No,,Card,0
45,89,54.11,0.0,4,5,0.492,1,South,,Yes,,Cash,0
49,42,9.68,2.0,2,5,0.25,0,West,Standard,Yes,No,Card,0
40,16,17.44,0.0,0,3,0.171,0,South,Basic,No,,Card,1
29,47,39.64,1.0,2,4,0.447,0,North,Basic,Yes,Yes,UPI,0
75,24,70.62,0.0,1,1,0.464,0,West,Standard,No,No,Card,0
66,45,62.28,1.0,5,5,0.248,0,North,Standard,No,Yes,Card,0
57,75,63.69,1.0,5,2,0.153,2,West,Standard,Yes,Yes,NetBanking,0
42,14,99.02,1.0,0,5,0.241,0,North,Basic,No,Yes,UPI,0
69,89,34.62,1.0,3,5,0.11,1,South,Basic,No,Yes,Card,0
51,27,59.45,1.0,0,1,0.239,0,East,Premium,Yes,Yes,UPI,0
45,107,66.09,0.0,2,1,0.115,0,North,Basic,No,Yes,Card,0
45,88,45.27,1.0,0,4,0.311,0,,,No,Yes,Card,0
32,33,60.57,0.0,4,5,0.38,1,,Basic,No,Yes,Cash,0
23,68,28.0,0.0,0,4,0.485,3,East,Basic,Yes,,UPI,1
52,14,88.2,3.0,5,1,0.421,1,West,Standard,No,Yes,UPI,0
73,12,46.37,2.0,1,4,0.043,1,,Basic,Yes,Yes,UPI,0
21,114,100.63,2.0,1,2,0.106,1,South,Standard,No,Yes,NetBanking,0
71,96,59.35,1.0,5,5,0.266,0,South,Basic,No,Yes,UPI,0
69,19,80.56,0.0,5,5,0.129,0,North,Standard,No,Yes,Card,0
35,34,58.93,1.0,0,4,0.007,0,West,Standard,No,Yes,Card,0
57,24,59.39,0.0,0,3,0.377,0,East,Basic,Yes,No,Card,0
28,48,48.32,3.0,5,2,0.179,0,East,Standard,Yes,No,Cash,0
65,35,62.38,3.0,5,5,0.033,0,South,Premium,No,No,UPI,0
61,40,,1.0,2,1,0.254,0,South,Basic,No,Yes,Card,1
39,63,44.31,3.0,0,1,0.489,0,North,Standard,No,Yes,Card,0
22,23,57.5,1.0,0,1,0.339,0,North,Standard,Yes,Yes,NetBanking,0
78,106,47.8,3.0,1,3,0.079,0,,Standard,No,No,Card,0
45,87,105.99,1.0,4,1,0.257,0,North,Basic,Yes,Yes,UPI,0
73,91,58.21,3.0,0,3,0.451,0,North,,Yes,No,NetBanking,0
60,21,,2.0,3,1,0.027,0,East,Basic,No,Yes,NetBanking,1
66,85,56.09,3.0,4,5,0.319,1,South,Basic,No,No,Card,0
65,100,65.19,,0,3,0.361,0,South,,No,Yes,UPI,0
30,21,33.57,1.0,5,1,0.352,0,West,Premium,No,Yes,Card,0
40,90,51.06,2.0,5,4,0.075,1,East,Basic,No,Yes,NetBanking,0
46,43,,3.0,1,2,0.454,0,North,Basic,Yes,No,Card,0
48,94,91.72,1.0,0,2,0.161,0,West,Basic,Yes,No,UPI,0
20,57,64.44,0.0,1,4,0.026,0,South,Basic,No,No,UPI,0
51,96,87.67,2.0,1,5,0.042,0,East,Standard,No,No,NetBanking,0
27,18,72.81,0.0,1,5,0.229,2,West,Standard,No,Yes,Card,0
64,47,92.55,1.0,5,3,0.02,0,North,Basic,No,Yes,Card,1
60,33,58.82,2.0,0,5,0.39,0,East,Basic,No,No,NetBanking,0
75,30,107.8,1.0,1,2,0.433,2,South,Basic,No,,Card,1
64,37,50.29,2.0,4,5,0.007,0,North,Premium,Yes,Yes,Card,0
40,46,44.67,1.0,0,5,0.405,0,South,Basic,Yes,Yes,Card,0
77,16,35.8,0.0,0,3,0.491,1,South,Basic,Yes,Yes,NetBanking,0
43,85,106.62,1.0,1,3,0.015,0,North,Basic,Yes,Yes,UPI,0
38,66,76.39,1.0,5,3,0.362,0,South,Basic,Yes,No,UPI,0
74,99,53.32,1.0,5,1,0.5,0,South,Basic,Yes,No,NetBanking,0
40,84,84.98,1.0,5,5,0.399,1,South,Premium,No,Yes,NetBanking,0
22,18,73.75,3.0,5,4,0.253,0,North,Basic,Yes,Yes,UPI,0
47,9,99.32,1.0,0,5,0.442,1,South,Basic,No,No,Card,1
67,51,29.04,3.0,2,1,0.354,1,South,Basic,No,No,UPI,0
29,58,54.69,1.0,3,5,0.146,0,South,Basic,No,No,UPI,0
46,29,50.75,0.0,0,2,0.112,0,,Premium,No,Yes,Card,0
26,94,20.53,1.0,5,5,0.256,0,West,Standard,Yes,No,NetBanking,0
60,70,81.21,0.0,3,5,0.186,1,North,Premium,Yes,No,Card,0
47,90,54.59,3.0,5,5,0.165,0,South,Premium,No,Yes,Card,0
38,13,74.79,1.0,1,5,0.089,1,West,Standard,No,No,UPI,0
32,97,107.2,1.0,4,1,0.423,1,East,Standard,No,Yes,NetBanking,0
52,25,52.94,3.0,0,2,0.353,0,West,,No,,Card,0
59,54,51.58,1.0,0,2,0.166,1,East,Standard,No,,Card,0
76,53,62.37,1.0,3,3,0.119,1,East,Standard,No,Yes,UPI,0
45,98,79.74,0.0,0,5,0.064,0,North,Standard,Yes,Yes,Cash,0
27,33,48.67,3.0,1,4,0.056,1,South,Basic,No,Yes,Card,0
69,29,47.38,1.0,4,3,0.313,0,East,Standard,No,No,Card,0
57,41,81.14,0.0,2,5,0.054,0,East,Basic,No,No,NetBanking,1
61,43,67.57,1.0,2,1,0.48,0,West,Standard,No,Yes,UPI,0
24,22,19.11,1.0,1,4,0.14,0,West,Standard,No,No,Card,0
37,21,35.49,0.0,4,3,0.013,1,North,Standard,Yes,Yes,Card,0
65,28,90.02,1.0,5,2,0.428,0,South,Standard,No,Yes,UPI,0
69,56,,2.0,4,4,0.184,0,West,Standard,No,Yes,UPI,0
44,41,44.76,1.0,2,5,0.171,0,West,Standard,No,No,Card,0
67,47,56.59,,2,5,0.059,0,,Basic,No,No,Card,1
70,86,60.26,,0,5,0.33,0,East,Basic,No,No,NetBanking,0
42,29,74.71,5.0,0,5,0.179,0,West,Basic,Yes,No,UPI,0
73,109,32.83,3.0,1,3,0.411,1,South,Basic,No,Yes,UPI,0
35,90,43.18,1.0,2,1,0.315,1,North,Basic,Yes,Yes,Card,0
32,21,65.46,2.0,5,5,0.44,0,North,Standard,Yes,No,Card,0
60,38,58.0,1.0,5,3,0.311,0,South,Standard,Yes,Yes,Cash,0
57,22,71.44,2.0,0,4,0.39,0,West,Basic,Yes,Yes,UPI,1
26,33,35.41,1.0,1,1,0.348,0,South,Premium,No,Yes,Card,0
69,44,67.14,2.0,0,5,0.231,1,East,Basic,Yes,Yes,UPI,0
30,16,81.83,2.0,0,5,0.344,0,South,Standard,No,Yes,Card,0
67,2,,2.0,2,5,0.332,0,East,Standard,No,,Card,0
18,53,62.78,1.0,5,1,0.003,0,North,Standard,No,No,Card,0
67,84,58.08,1.0,1,5,0.349,1,East,Basic,No,Yes,NetBanking,0
66,37,43.3,1.0,4,4,0.131,1,North,Basic,No,No,UPI,0
66,103,58.56,2.0,2,1,0.271,0,South,Basic,No,Yes,UPI,0
59,44,85.19,1.0,3,3,0.056,0,South,Standard,No,No,Card,0
47,108,57.62,3.0,5,3,0.012,1,East,Premium,No,Yes,NetBanking,0
61,29,42.2,1.0,4,4,0.008,1,,Standard,Yes,Yes,Card,0
35,65,50.16,1.0,4,1,0.079,0,West,Standard,No,Yes,Card,0
66,91,64.02,5.0,2,3,0.01,0,West,Basic,No,Yes,NetBanking,1
52,8,52.53,3.0,0,4,0.066,0,South,Standard,No,No,NetBanking,0
46,111,69.71,4.0,5,4,0.28,0,North,Standard,No,Yes,Card,0
49,44,70.46,1.0,5,4,0.2,0,North,Basic,No,Yes,Card,0
53,60,77.78,2.0,5,4,0.49,1,North,Standard,No,No,UPI,0
20,75,88.47,1.0,2,4,0.404,0,North,Basic,Yes,No,Card,0
26,77,79.92,2.0,1,1,0.073,0,West,Basic,Yes,Yes,UPI,0
33,3,41.32,2.0,1,4,0.208,0,West,Basic,No,Yes,UPI,0
25,104,41.93,0.0,2,2,0.215,0,North,Standard,Yes,Yes,UPI,0
45,75,58.48,3.0,2,3,0.181,0,West,Standard,No,Yes,Card,0
59,119,50.98,2.0,1,3,0.248,0,West,Basic,Yes,No,NetBanking,0
58,57,37.23,0.0,5,5,0.335,0,South,Premium,Yes,Yes,NetBanking,0
47,74,,2.0,3,2,0.32,0,West,,No,No,UPI,0
71,53,50.51,3.0,1,2,0.179,1,West,Standard,Yes,Yes,Card,0
53,106,46.56,1.0,3,4,0.353,0,West,Premium,No,Yes,Cash,0
22,100,53.68,2.0,4,4,0.145,1,East,Premium,Yes,No,Card,0
65,109,83.57,1.0,3,2,0.418,0,South,Basic,Yes,No,Card,0
53,61,63.98,0.0,5,2,0.482,0,North,Premium,No,,Card,0
57,95,109.44,1.0,5,5,0.147,0,West,Basic,No,Yes,Card,0
53,43,63.41,0.0,2,5,0.392,0,South,Basic,No,No,Card,0
52,55,54.2,3.0,2,1,0.407,0,South,Basic,Yes,Yes,UPI,0
23,91,60.08,2.0,1,2,0.245,1,South,Standard,No,,Card,0
52,10,65.13,0.0,4,4,0.044,0,South,Premium,No,No,Card,0
67,85,68.71,0.0,5,1,0.393,0,North,Basic,Yes,Yes,NetBanking,0
36,2,101.53,1.0,3,1,0.204,0,West,Standard,No,No,Card,0
55,70,43.09,2.0,1,1,0.104,1,East,Basic,No,No,UPI,1
19,57,77.18,1.0,3,3,0.313,0,South,Standard,No,No,NetBanking,0
39,56,64.16,0.0,4,3,0.218,1,South,Basic,No,No,Card,0
45,59,28.58,3.0,0,2,0.044,0,East,Standard,No,No,Card,0
78,59,75.41,0.0,3,1,0.492,0,West,Standard,Yes,Yes,Card,0
31,49,85.35,1.0,3,4,0.122,0,West,,No,Yes,UPI,0
35,54,42.86,2.0,3,5,0.255,0,West,Premium,No,Yes,Card,0
43,68,59.82,3.0,3,2,0.334,0,South,Premium,No,Yes,NetBanking,0
79,91,25.49,0.0,5,4,0.058,3,West,Standard,No,,UPI,0
70,66,34.82,0.0,0,4,0.37,0,East,Standard,Yes,No,UPI,0
20,77,80.96,1.0,3,3,0.324,1,East,Standard,No,Yes,NetBanking,0
32,100,50.67,0.0,4,3,0.247,0,East,Basic,No,No,Card,0
68,118,37.82,1.0,4,1,0.264,0,South,Basic,Yes,No,UPI,0
21,13,64.59,,2,5,0.477,0,South,Standard,No,No,UPI,1
71,85,49.55,2.0,5,5,0.455,0,East,Standard,No,Yes,UPI,0
35,27,50.58,1.0,1,4,0.056,0,South,Standard,No,Yes,UPI,0
74,24,74.79,3.0,2,5,0.184,0,East,Standard,No,No,Card,0
36,95,36.77,2.0,4,4,0.258,1,South,Standard,Yes,No,NetBanking,0
44,9,41.89,0.0,2,4,0.46,0,East,Basic,Yes,No,UPI,0
59,101,63.08,2.0,2,5,0.408,0,West,Basic,Yes,No,UPI,0
25,92,79.39,2.0,3,1,0.193,1,North,Basic,No,Yes,NetBanking,0
52,119,84.76,1.0,3,2,0.443,0,North,Basic,Yes,Yes,UPI,0
49,80,,3.0,5,2,0.189,0,East,Standard,No,No,Cash,0
66,104,78.75,2.0,3,4,0.136,1,North,Standard,No,Yes,Card,0
79,15,44.32,2.0,1,2,0.305,0,North,Basic,No,No,Card,0
59,106,96.52,2.0,0,2,0.178,0,East,Standard,Yes,,Card,0
43,20,37.32,4.0,5,3,0.311,1,North,Basic,Yes,No,Card,0
43,38,,2.0,2,4,0.205,0,East,Standard,No,No,UPI,0
43,16,46.87,0.0,1,3,0.398,0,North,Premium,No,Yes,Card,0
68,48,100.26,2.0,1,1,0.477,0,North,Basic,Yes,Yes,UPI,0
37,90,71.83,2.0,0,4,0.135,0,South,Standard,Yes,No,NetBanking,0
28,32,39.68,4.0,1,3,0.255,0,West,Basic,No,No,UPI,1
38,98,49.56,1.0,4,1,0.362,0,East,,No,No,Card,0
19,73,75.62,2.0,3,4,0.079,1,South,Standard,No,Yes,Cash,0
24,75,81.05,1.0,3,2,0.398,1,South,Standard,No,No,UPI,0
23,112,58.59,1.0,0,3,0.291,1,East,Standard,No,Yes,NetBanking,0
65,52,60.89,1.0,4,5,0.075,0,East,Premium,Yes,Yes,Card,0
62,42,75.17,1.0,5,2,0.434,0,South,Standard,No,No,UPI,0
